Title,Book_category,Star_rating,Price,Stock,Quantity,Source_File,Sharp Objects,Mystery,Four,47.82,In stock,20,Soumission,Fiction,One,50.1,Issue_Date,Return_Date,Random_Book_Sum
Without Borders (Wanderlove #1),New Adult,Two,45.07,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-05-07,2025-05-07,51.0
When We Collided,Contemporary,One,31.77,In stock,,books_scraped.csv,,,,,,,,,,,2025-03-14,2025-04-04,27.0
"We Love You, Charlie Freeman",Fiction,Five,50.27,In stock,16.0,books_scraped.csv,,,,,,,,,,,2024-11-11,2024-12-01,76.0
Untitled Collection: Sabbath Poems 2014,Poetry,Four,14.27,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-01-30,2025-02-06,77.0
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Nonfiction,Four,44.18,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-05-11,2025-05-12,80.0
Unicorn Tracks,Fantasy,Three,18.78,In stock,16.0,books_scraped.csv,,,,,,,,,,,2024-11-07,2024-12-05,59.0
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",History,One,25.52,In stock,16.0,books_scraped.csv,,,,,,,,,,,2024-11-13,2024-12-04,90.0
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art,One,16.28,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-04-09,2025-04-29,55.0
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Nonfiction,Three,31.12,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-07-04,2025-07-24,94.0
This One Summer,Sequential Art,Four,19.49,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-07-25,2025-08-09,29.0
Thirst,Fiction,Five,17.27,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-10-13,2025-11-12,41.0
The Torch Is Passed: A Harding Family Story,Add a comment,One,19.09,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-03-30,2025-04-02,73.0
The Secret of Dreadwillow Carse,Childrens,One,56.13,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-09-26,2025-10-16,66.0
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Food and Drink,One,56.41,In stock,16.0,books_scraped.csv,,,,,,,,,,,2024-11-23,2024-12-02,26.0
The Past Never Ends,Mystery,Four,56.5,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-04-10,2025-05-01,53.0
The Natural History of Us (The Fine Art of Pretending #2),Young Adult,Three,45.22,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-06-26,2025-07-07,19.0
The Nameless City (The Nameless City #1),Sequential Art,Four,38.16,In stock,16.0,books_scraped.csv,,,,,,,,,,,2024-11-21,2024-12-09,74.0
The Murder That Never Was (Forensic Instincts #5),Fiction,Three,54.11,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-04-16,2025-04-21,
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Science,Four,42.96,In stock,16.0,books_scraped.csv,,,,,,,,,,,2024-11-12,2024-12-01,11.0
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Add a comment,Four,23.89,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-09-20,2025-10-14,44.0
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Nonfiction,Three,16.77,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-08-30,2025-09-19,56.0
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Default,Five,20.59,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-07-12,2025-07-27,65.0
The Gutsy Girl: Escapades for Your Life of Epic Adventure,Nonfiction,One,37.13,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-03-06,2025-03-19,37.0
The Electric Pencil: Drawings from Inside State Hospital No. 3,Nonfiction,One,56.06,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-01-02,2025-01-17,14.0
The Death of Humanity: and the Case for Life,Philosophy,Four,58.11,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-05-02,2025-05-07,21.0
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Health,Three,49.05,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-08-16,,65.0
The Art Forger,Add a comment,Three,40.76,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-03-12,2025-04-08,25.0
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,History,One,19.73,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-04-10,2025-04-14,58.0
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Spirituality,Five,32.24,In stock,16.0,books_scraped.csv,,,,,,,,,,,2024-11-25,2024-12-03,31.0
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Nonfiction,Four,41.83,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-09-11,2025-09-30,
Soul Reader,Default,Two,39.58,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-01-05,2025-02-02,30.0
Security,Horror,Two,39.25,In stock,16.0,books_scraped.csv,,,,,,,,,,,2024-11-11,2024-11-27,61.0
"Saga, Volume 6 (Saga (Collected Editions) #6)",Fantasy,Three,25.02,In stock,16.0,books_scraped.csv,,,,,,,,,,,2024-11-19,2024-12-07,15.0
"Saga, Volume 5 (Saga (Collected Editions) #5)",Sequential Art,Two,51.04,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-06-19,2025-06-19,66.0
Reskilling America: Learning to Labor in the Twenty-First Century,Nonfiction,Two,19.83,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-01-12,2025-01-12,49.0
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Sequential Art,Three,50.4,In stock,,books_scraped.csv,,,,,,,,,,,2024-12-20,2024-12-24,76.0
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Sequential Art,Five,13.61,In stock,16.0,books_scraped.csv,,,,,,,,,,,2024-10-16,2024-10-31,53.0
Princess Between Worlds (Wide-Awake Princess #5),Fantasy,Five,13.34,In stock,16.0,books_scraped.csv,,,,,,,,,,,2024-12-10,2024-12-15,20.0
"Pop Gun War, Volume 1: Gift",Sequential Art,One,18.97,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-04-02,2025-04-08,62.0
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",History,Two,36.28,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-02-28,2025-02-28,57.0
Patience,Sequential Art,Three,10.16,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-09-11,2025-10-06,76.0
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Sequential Art,Four,15.44,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-03-19,,81.0
orange: The Complete Collection 1 (orange: The Complete Collection #1),Sequential Art,One,48.41,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-01-21,2025-02-16,83.0
Online Marketing for Busy Authors: A Step-By-Step Guide,Self Help,One,46.35,,16.0,books_scraped.csv,,,,,,,,,,,2024-12-19,2024-12-30,12.0
On a Midnight Clear,Add a comment,Three,14.07,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-05-08,2025-05-17,57.0
Obsidian (Lux #1),Young Adult,Two,14.86,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-03-16,2025-04-12,57.0
My Paris Kitchen: Recipes and Stories,Food and Drink,Two,33.37,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-01-30,2025-02-07,9.0
Masks and Shadows,Fantasy,Two,56.4,In stock,16.0,books_scraped.csv,,,,,,,,,,,2024-10-23,2024-10-26,18.0
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Food and Drink,Four,14.02,In stock,16.0,books_scraped.csv,,,,,,,,,,,,2025-10-09,21.0
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Sequential Art,Two,46.91,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-08-22,2025-09-13,65.0
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Sequential Art,Three,45.61,In stock,16.0,books_scraped.csv,,,,,,,,,,,2024-12-10,2024-12-31,53.0
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),,Two,19.92,In stock,16.0,books_scraped.csv,,,,,,,,,,,2024-10-25,2024-11-10,87.0
"Layered: Baking, Building, and Styling Spectacular Cakes",Food and Drink,One,40.11,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-04-20,2025-04-23,98.0
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Add a comment,Two,53.9,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-02-16,2025-03-16,70.0
Join,Science Fiction,Five,35.67,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-09-05,2025-09-12,7.0
In the Country We Love: My Family Divided,Nonfiction,Four,22.0,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-03-11,2025-04-07,14.0
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,Science,Five,57.36,In stock,16.0,books_scraped.csv,,,,,,,,,,,2024-10-31,2024-11-12,17.0
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Sequential Art,Two,29.17,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-08-13,2025-08-15,32.0
I am a Hero Omnibus Volume 1,Sequential Art,Three,54.63,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-05-05,2025-05-07,35.0
How to Be Miserable: 40 Strategies You Already Use,Self Help,One,46.03,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-05-07,2025-06-06,27.0
Her Backup Boyfriend (The Sorensen Family #1),Romance,One,33.97,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-08-29,2025-09-11,39.0
"Giant Days, Vol. 2 (Giant Days #5-8)",Sequential Art,Two,22.11,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-05-10,2025-06-05,77.0
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Historical Fiction,Three,29.69,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-10-09,2025-10-14,72.0
First and First (Five Boroughs #3),Romance,,,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-09-03,2025-10-03,35.0
Fifty Shades Darker (Fifty Shades #2),Romance,One,21.96,In stock,,books_scraped.csv,,,,,,,,,,,2024-11-09,2024-12-09,54.0
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,Nonfiction,Two,54.35,In stock,16.0,books_scraped.csv,,,,,,,,,,,2024-12-09,2024-12-20,99.0
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",Religion,Two,37.97,In stock,16.0,books_scraped.csv,,,,,,,,,,,2024-11-27,2024-12-27,53.0
Danganronpa Volume 1,Sequential Art,Four,51.99,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-06-08,2025-06-21,43.0
Crown of Midnight (Throne of Glass #2),Fantasy,Three,43.29,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-09-19,2025-10-14,56.0
"Codename Baboushka, Volume 1: The Conclave of Death",Sequential Art,Four,36.72,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-07-04,2025-07-14,63.0
Camp Midnight,Sequential Art,Four,17.08,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-04-14,2025-04-18,85.0
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,Nonfiction,Five,29.14,In stock,16.0,books_scraped.csv,,,,,,,,,,,,2024-12-05,50.0
Burning,Young Adult,Three,28.81,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-04-29,2025-05-05,16.0
Bossypants,Default,Two,49.46,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-09-25,2025-09-27,93.0
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Sequential Art,Two,37.92,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-07-16,2025-07-20,2.0
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",Fantasy,Two,28.09,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-02-04,2025-02-24,
Algorithms to Live By: The Computer Science of Human Decisions,Nonfiction,One,30.81,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-03-31,2025-04-30,
A World of Flavor: Your Gluten Free Passport,Default,One,42.95,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-05-01,2025-05-25,24.0
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",Default,Five,56.76,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-04-18,2025-04-18,8.0
A Murder in Time,Mystery,One,16.64,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-10-04,2025-10-25,9.0
A Flight of Arrows (The Pathfinders #2),Historical Fiction,Five,55.53,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-01-26,2025-02-10,58.0
A Fierce and Subtle Poison,Young Adult,,28.13,In stock,16.0,books_scraped.csv,,,,,,,,,,,2025-04-15,2025-04-24,20.0
A Court of Thorns and Roses (A Court of Thorns and Roses #1),Fantasy,One,52.37,In stock,16.0,books_scraped.csv,,,,,,,,,,,2024-11-18,2024-12-08,83.0
(Un)Qualified: How God Uses Broken People to Do Big Things,Christian,Five,54.0,In stock,16.0,books_scraped.csv,,,,,,,,,,,2024-11-23,2024-12-17,44.0
You Are What You Love: The Spiritual Power of Habit,Religion,Four,21.87,In stock,15.0,books_scraped.csv,,,,,,,,,,,2024-11-15,2024-11-25,3.0
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",Science Fiction,Four,43.3,In stock,15.0,books_scraped.csv,,,,,,,,,,,2024-10-28,2024-10-30,35.0
Tuesday Nights in 1980,Fiction,Two,21.04,In stock,15.0,books_scraped.csv,,,,,,,,,,,2025-10-10,2025-10-14,5.0
Tracing Numbers on a Train,Default,Three,41.6,In stock,15.0,books_scraped.csv,,,,,,,,,,,2025-03-29,2025-03-30,69.0
Throne of Glass (Throne of Glass #1),Fantasy,Three,35.07,In stock,15.0,books_scraped.csv,,,,,,,,,,,2025-01-13,2025-01-30,50.0
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,History,One,59.64,In stock,15.0,books_scraped.csv,,,,,,,,,,,2025-07-19,2025-08-13,30.0
Thirteen Reasons Why,Default,One,52.72,In stock,15.0,books_scraped.csv,,,,,,,,,,,2024-10-23,2024-11-07,14.0
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,Childrens,Four,58.08,In stock,15.0,books_scraped.csv,,,,,,,,,,,,2025-06-08,95.0
The Wedding Dress,Romance,One,24.12,In stock,15.0,books_scraped.csv,,,,,,,,,,,2025-07-08,2025-08-06,84.0
The Vacationers,Fiction,Four,42.15,In stock,15.0,books_scraped.csv,,,,,,,,,,,2025-03-02,2025-03-28,28.0
The Third Wave: An Entrepreneurâs Vision of the Future,Business,Five,12.61,In stock,15.0,books_scraped.csv,,,,,,,,,,,2025-01-12,2025-01-12,5.0
The Stranger,Philosophy,Four,17.44,In stock,15.0,books_scraped.csv,,,,,,,,,,,2025-10-05,2025-10-07,7.0
The Shadow Hero (The Shadow Hero),Sequential Art,One,33.14,In stock,15.0,books_scraped.csv,,,,,,,,,,,2025-03-27,2025-04-24,54.0
The Secret (The Secret #1),Default,Four,27.37,In stock,15.0,books_scraped.csv,,,,,,,,,,,2024-12-25,2025-01-16,
The Regional Office Is Under Attack!,Fiction,Five,51.36,In stock,15.0,books_scraped.csv,,,,,,,,,,,2025-01-13,2025-02-09,36.0
The Psychopath Test: A Journey Through the Madness Industry,Default,Two,36.0,In stock,15.0,books_scraped.csv,,,,,,,,,,,2025-07-17,2025-07-23,46.0
The Project,Science Fiction,One,10.65,In stock,15.0,books_scraped.csv,,,,,,,,,,,2025-04-23,2025-05-15,89.0
The Power of Now: A Guide to Spiritual Enlightenment,Nonfiction,Two,43.54,In stock,15.0,books_scraped.csv,,,,,,,,,,,2025-10-10,2025-11-09,36.0
The Omnivore's Dilemma: A Natural History of Four Meals,Nonfiction,Two,38.21,In stock,15.0,books_scraped.csv,,,,,,,,,,,2024-10-21,2024-10-22,94.0
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,Food and Drink,Five,37.34,In stock,15.0,books_scraped.csv,,,,,,,,,,,2025-02-01,2025-02-27,21.0
The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,Four,44.1,In stock,15.0,books_scraped.csv,,,,,,,,,,,2025-05-23,2025-05-27,53.0
The Mistake (Off-Campus #2),New Adult,Three,43.29,In stock,15.0,books_scraped.csv,,,,,,,,,,,2025-01-06,2025-01-24,73.0
The Matchmaker's Playbook (Wingmen Inc. #1),New Adult,One,55.85,In stock,15.0,books_scraped.csv,,,,,,,,,,,2025-06-01,2025-06-05,22.0
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,Food and Drink,,37.6,In stock,15.0,,,,,,,,,,,,2025-04-09,2025-05-09,3.0
The Long Shadow of Small Ghosts: Murder and Memory in an American City,Crime,One,10.97,In stock,15.0,books_scraped.csv,,,,,,,,,,,2024-11-22,2024-12-12,79.0
The Kite Runner,Default,Four,41.82,In stock,15.0,books_scraped.csv,,,,,,,,,,,2024-11-16,2024-11-19,4.0
The House by the Lake,Historical Fiction,One,36.95,In stock,15.0,books_scraped.csv,,,,,,,,,,,2024-12-14,2025-01-02,24.0
The Glittering Court (The Glittering Court #1),Fantasy,One,44.28,In stock,15.0,books_scraped.csv,,,,,,,,,,,2025-01-14,2025-02-07,43.0
The Girl on the Train,Default,Two,55.02,In stock,15.0,books_scraped.csv,,,,,,,,,,,2025-02-02,2025-02-07,58.0
The Genius of Birds,Nonfiction,One,17.24,In stock,15.0,books_scraped.csv,,,,,,,,,,,2025-08-07,2025-08-19,77.0
The Emerald Mystery,Default,Two,23.15,In stock,15.0,books_scraped.csv,,,,,,,,,,,2025-06-10,2025-06-18,1.0
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,Food and Drink,One,41.25,In stock,15.0,books_scraped.csv,,,,,,,,,,,2025-06-13,2025-06-28,9.0
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,Default,Three,32.0,In stock,15.0,books_scraped.csv,,,,,,,,,,,2024-12-20,2025-01-18,50.0
The Artist's Way: A Spiritual Path to Higher Creativity,Nonfiction,Five,38.49,In stock,15.0,books_scraped.csv,,,,,,,,,,,2025-01-22,2025-01-30,22.0
The Art of War,Default,Five,33.34,In stock,15.0,books_scraped.csv,,,,,,,,,,,2025-01-27,2025-02-24,35.0
The Argonauts,Autobiography,Two,10.93,In stock,15.0,books_scraped.csv,,,,,,,,,,,2024-10-23,2024-11-03,95.0
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,Business,Three,27.55,In stock,15.0,books_scraped.csv,,,,,,,,,,,2024-12-28,2025-01-16,4.0
Suddenly in Love (Lake Haven #1),Romance,Two,55.99,In stock,15.0,books_scraped.csv,,,,,,,,,,,2025-02-04,2025-02-14,8.0
Something More Than This,Romance,Four,16.24,In stock,15.0,books_scraped.csv,,,,,,,,,,,2025-07-30,2025-08-08,89.0
Soft Apocalypse,Science Fiction,Two,26.12,In stock,15.0,books_scraped.csv,,,,,,,,,,,2025-05-05,2025-05-10,49.0
So You've Been Publicly Shamed,Nonfiction,Two,12.23,In stock,15.0,books_scraped.csv,,,,,,,,,,,2025-04-26,2025-05-13,79.0
Shoe Dog: A Memoir by the Creator of NIKE,Business,Two,23.99,In stock,15.0,books_scraped.csv,,,,,,,,,,,2025-07-13,2025-08-09,35.0
"Shobu Samurai, Project Aryoku (#3)",Add a comment,Three,29.06,In stock,15.0,books_scraped.csv,,,,,,,,,,,2025-03-30,2025-03-31,10.0
Secrets and Lace (Fatal Hearts #1),Default,One,20.27,In stock,15.0,books_scraped.csv,,,,,,,,,,,2024-10-20,2024-11-19,36.0
Scarlett Epstein Hates It Here,Young Adult,Five,43.55,In stock,15.0,books_scraped.csv,,,,,,,,,,,2025-07-22,2025-08-20,3.0
Romero and Juliet: A Tragic Tale of Love and Zombies,Default,One,36.94,In stock,,books_scraped.csv,,,,,,,,,,,2025-05-23,2025-05-31,69.0
Redeeming Love,Christian Fiction,Five,20.47,In stock,15.0,books_scraped.csv,,,,,,,,,,,2025-08-20,2025-08-30,88.0
